[LOG] System::create                           : Header version = 1.10.09. Current version = 1.10.09.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=11009 (97915), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 00000000693D0EF8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {8db7b380-ad73-4957-b256-f34fbb3f3893}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {ffae1f44-10be-4c29-a2fb-d41d92bc14f9}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {e31c966a-1979-4e02-8e88-26793bc44e67}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {5524135b-af7c-4416-811b-102f1989b9a0}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {1b380e4c-cfc3-4c38-8195-a37620e7cd0a}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {9e22408d-4fd2-4141-b372-8f1168961a11}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {e9fede03-6010-44b6-91d7-85eae00bf20a}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {27c33b9b-eecc-419b-9012-aa6ecabf51ac}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {1fd8eb82-dd2e-4076-bde6-9e1e1ef32332}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {e54c4b6e-0365-41fd-8b6d-0e8f0b340b04}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {4dcafff5-a263-44c5-9138-0d090ebc66b0}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {d6d33d6b-4c1a-42b1-81c8-c3cba14bfbd1}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {e6955ec5-06e6-4f37-b7f5-479afebf27d3}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {99b41dc9-82b1-46c8-a6b1-b38f1ff0a368}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {cc4b88ea-4d71-465a-935a-d2f86c47505e}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {7bd07c23-26ae-49e6-abb4-3a95bd2006aa}
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {6736a8ff-3cbc-4fe2-846f-060fea3bd976}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {9f063823-a4c1-4cde-bfc5-3f3c07928a93}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {7fc8918b-c79a-4c5b-92be-5d748ee46b95}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {f38b5e06-4a9b-498f-9353-5ac5c99b7089}
[LOG] Manager::readBank                        : fileversion = 101, compatVersion = 99 (oldest = 44, newest = 101)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
